"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"11","CAAU","Human infrastructure",11,"H11","Artificial Light","Pollution",11,10,1.52272727272727,0,4.5,1.9,0.45,3,1.72727272727273,0.5,3,2.09090909090909,0.5,3.5,1.04545454545455,0.125,2.25,1.18181818181818,0,3
"12","CAAU","Invasive species",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",11,11,0.886363636363636,0,2.625,2.54545454545455,1.5,3.5,1.90909090909091,1,3,2.09090909090909,1,3,1.06818181818182,0.25,2.25,0.818181818181818,0,2
"13","CAAU","Invasive species",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",11,10,1.95454545454545,0,5.25,3.1,1,4,2.45454545454545,0.5,3.5,3.18181818181818,0.5,4,2.18181818181818,0.25,3.5,1.09090909090909,0,2.5
"14","CAAU","Invasive species",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",11,11,1.63636363636364,0,6,2.72727272727273,0.5,4,2.81818181818182,2,4,3.45454545454545,2.5,4,2.45454545454545,1.25,3.5,0.636363636363636,0,2
"15","CAAU","Pollution",15,"H15","Oil Spills","Pollution",11,11,0.25,0,1.25,1.63636363636364,0,3.5,2.18181818181818,1,3.5,1.36363636363636,0,2,0.75,0,1.5,0.454545454545455,0,1.5
"16","CAAU","Pollution",16,"H16","Residual DDT","Pollution",11,10,0.363636363636364,0,1.5,2.5,0.45,4,1.18181818181818,0.5,2,0.909090909090909,0,3.5,0.295454545454545,0,1.25,1.54545454545455,0,3
"17","CAAU","Pollution",17,"H17","Contaminants","Pollution",11,10,0.681818181818182,0,3,2.1,0.45,3.55,1.36363636363636,0.5,2.5,0.636363636363636,0,2,0.25,0,1,2.36363636363636,1,3
"18","CAAU","Projected climate change impacts",18,"H18","Sea Level Rise","Climate change & severe weather",11,8,0.590909090909091,0,2,2.5,1,3.65,1.36363636363636,0,2.5,0.909090909090909,0,2,0.363636363636364,0,0.75,0.909090909090909,0,2.5
"19","CAAU","Projected climate change impacts",19,"H19","Marine Productivity","Climate change & severe weather",11,11,0,0,0,2.18181818181818,0.5,3.5,2.54545454545455,1.5,3.5,0,0,0,0,0,0,1,0,2
"20","CAAU","Projected climate change impacts",20,"H20","Sea Surface Temperature","Climate change & severe weather",11,11,0,0,0,2.27272727272727,0.5,3.5,2.54545454545455,2,3.5,0,0,0,0,0,0,1.18181818181818,0,2.5
"21","CAAU","Projected climate change impacts",21,"H21","Precipitation","Climate change & severe weather",11,8,0.613636363636364,0,2,2.125,1,3,1.09090909090909,0,2.5,0.909090909090909,0,2.5,0.340909090909091,0,1.25,1.27272727272727,0,2.5
"22","CAAU","Projected climate change impacts",22,"H22","Ambient Temperature","Climate change & severe weather",11,8,0.5,0,1.5,2.375,1,3.65,0.909090909090909,0,2,0.818181818181818,0,2,0.25,0,0.75,1.54545454545455,0,2.5
"23","CAAU","Projected climate change impacts",23,"H23","Marine Heat Waves","Climate change & severe weather",11,11,0,0,0,2.27272727272727,1,3.5,2.18181818181818,1,3,0,0,0,0,0,0,1.18181818181818,0.5,2
"24","CAAU","Projected climate change impacts",24,"H24","Storm Events","Climate change & severe weather",11,9,0.75,0,2.625,2,0.4,3.6,1.36363636363636,0,3,1,0,3,0.363636363636364,0,1.125,1.36363636363636,0,2.5
"25","CAAU","Projected climate change impacts",25,"H25","Wind","Climate change & severe weather",11,10,0,0,0,1.7,0.45,3,1.54545454545455,0.5,3,0,0,0,0,0,0,2.36363636363636,1,3
"26","CAAU","Toxins/diseases/parasites",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",11,10,0.295454545454545,0,1.625,1.5,0.45,3,1.09090909090909,0.5,2,0.272727272727273,0,1.5,0.113636363636364,0,0.625,2.27272727272727,0.5,3.5
"27","CAAU","Toxins/diseases/parasites",27,"H27","Disease","Invasive & other problematic species, genes & diseases",11,10,0.681818181818182,0,2.5,2.4,1,3.55,1.81818181818182,0.5,3,0.727272727272727,0,1.5,0.386363636363636,0,1.125,2.18181818181818,0,4
"28","CAAU","Toxins/diseases/parasites",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",11,8,0.0909090909090909,0,0.5,1.75,1,3,0.818181818181818,0,1.5,0.181818181818182,0,1,0.0454545454545455,0,0.25,1.90909090909091,0,3
